,Country,Name,URL
8910,US,University of Nebraska - Omaha,http://www.unomaha.edu/
8912,US,University of Nevada - Las Vegas,http://www.unlv.edu/
8913,US,University of Nevada - Reno,http://www.unr.edu/
8914,US,University of New England,http://www.une.edu/
8916,US,University of New Hampshire,http://www.unh.edu/
8918,US,University of New Haven,http://www.newhaven.edu/
8919,US,University of New Mexico,http://www.unm.edu/
8920,US,University of New Orleans,http://www.uno.edu/
8921,US,University of North Alabama,http://www.una.edu/
8923,US,University of North Carolina at Asheville,http://www.unca.edu/
8924,US,University of North Carolina at Chapel Hill,http://www.unc.edu/
8925,US,University of North Carolina at Charlotte,http://www.uncc.edu/
8927,US,University of North Carolina at Pembroke,http://www.uncp.edu/
8931,US,University of Northern Iowa,http://www.uni.edu/
8932,US,University of Northern Virginia,http://www.unva.edu/
8934,US,University of North Florida,http://www.unf.edu/
8935,US,University of North Texas,http://www.unt.edu/
8938,US,University of Notre Dame,http://www.nd.edu/
8939,US,University of Oklahoma,http://www.ou.edu/
8940,US,University of Oklahoma Health Sciences Center,http://www.ouhsc.edu/
8941,US,University of Oregon,http://www.uoregon.edu/
8943,US,University of Pennsylvania,http://www.upenn.edu/
8944,US,University of Phoenix,http://www.phoenix.edu/
8945,US,University of Pittsburgh,http://www.pitt.edu/
8946,US,University of Pittsburgh at Bradford,http://www.upb.pitt.edu/
8951,US,University of Redlands,http://www.redlands.edu/
8952,US,University of Rhode Island,http://www.uri.edu/
8953,US,University of Richmond,http://www.urich.edu/
8956,US,University of San Diego,http://www.sandiego.edu/
8957,US,University of San Francisco,http://www.usfca.edu/
8958,US,University of Science and Arts of Oklahoma,http://www.usao.edu/
8959,US,University of Scranton,http://www.uofs.edu/
8961,US,University of South Alabama,http://www.usouthal.edu/
8962,US,University of South Carolina,http://www.sc.edu/
8968,US,University of South Carolina - Sumter,http://www.uscsumter.edu/
8971,US,University of Southern California,http://www.usc.edu/
8972,US,University of Southern Indiana,http://www.usi.edu/
8973,US,University of Southern Maine,http://www.usm.maine.edu/
8975,US,University of South Florida,http://www.usf.edu/
8976,US,University of St. Francis,http://www.stfrancis.edu/
8977,US,"University of St. Thomas, Houston",http://www.stthom.edu/
8980,US,University of Tennessee - Chattanooga,http://www.utc.edu/
8985,US,University of Texas,http://www.utsystem.edu/
8986,US,University of Texas at Arlington,http://www.uta.edu/
8987,US,University of Texas at Austin,http://www.utexas.edu/
8989,US,University of Texas at Dallas,http://www.utdallas.edu/
8990,US,University of Texas at El Paso,http://www.utep.edu/
8991,US,University of Texas at San Antonio,http://www.utsa.edu/
8993,US,University of Texas Health Center at Houston,http://www.uthouston.edu/
8995,US,University of Texas Health Science Center at San Antonio,http://www.uthscsa.edu/
8997,US,University of Texas Medical Branch Galveston,http://www.utmb.edu/
8998,US,University of Texas of the Permian Basin,http://www.utpb.edu/
9000,US,University of Texas Southwestern Medical Center at Dallas,http://www.utsouthwestern.edu/
9003,US,University of the Incarnate World,http://www.uiw.edu/
9004,US,University of the Ozarks,http://www.ozarks.edu/
9005,US,University of the Pacific,http://www.pacific.edu/
9007,US,University of the South,http://www.sewanee.edu/
9008,US,University of the Southwest,http://www.usw.edu/
9009,US,University of Toledo,http://www.utoledo.edu/
9011,US,University of Utah,http://www.utah.edu/
9012,US,University of Vermont,http://www.uvm.edu/
9013,US,University of Virginia,http://www.virginia.edu/
9015,US,University of Washington,http://www.washington.edu/
9018,US,University of West Florida,http://www.uwf.edu/
9019,US,University of West Los Angeles,http://www.uwla.edu/
9020,US,University of Wisconsin - Eau Claire,http://www.uwec.edu/
9021,US,University of Wisconsin - Green Bay,http://www.uwgb.edu/
9022,US,University of Wisconsin - La Crosse,http://www.uwlax.edu/
9023,US,University of Wisconsin - Madison,http://www.wisc.edu/
9024,US,University of Wisconsin - Milwaukee,http://www.uwm.edu/
9027,US,University of Wisconsin - Platteville,http://www.uwplatt.edu/
9028,US,University of Wisconsin - River Falls,http://www.uwrf.edu/
9029,US,University of Wisconsin - Stevens Point,http://www.uwsp.edu/
9030,US,University of Wisconsin - Stout,http://www.uwstout.edu/
9032,US,University of Wisconsin - Whitewater,http://www.uww.edu/
9034,US,Upper Iowa University,http://www.uiu.edu/
9036,US,Ursinus College,http://www.ursinus.edu/
9037,US,Ursuline College,http://www.ursuline.edu/
9041,US,Valdosta State University,http://www.valdosta.edu/
9044,US,Valparaiso University,http://www.valpo.edu/
9045,US,Vanderbilt University,http://www.vanderbilt.edu/
9050,US,Vermont Law School,http://www.vermontlaw.edu/
9053,US,Villanova University,http://www.villanova.edu/
9055,US,Virginia Commonwealth University,http://www.vcu.edu/
9058,US,Virginia Military Institute,http://www.vmi.edu/
9059,US,Virginia Polytechnic Institute and State University (Virginia Tech),http://www.vt.edu/
9060,US,Virginia State University,http://www.vsu.edu/
9063,US,Viterbo College,http://www.viterbo.edu/
9064,US,Voorhees College,http://www.voorhees.edu/
9065,US,Wabash College,http://www.wabash.edu/
9067,US,Wake Forest University,http://www.wfu.edu/
9071,US,Walsh University,http://www.walsh.edu/
9073,US,Warner Southern College,http://www.warner.edu/
9074,US,Warren Wilson College,http://www.warren-wilson.edu/
9076,US,Washburn University,http://www.washburn.edu/
9077,US,Washington and Lee University,http://www.wlu.edu/
9079,US,Washington College,http://www.washcoll.edu/
9080,US,Washington State University,http://www.wsu.edu/
9081,US,"Washington State University, Spokane",http://www.spokane.wsu.edu/
9082,US,"Washington State University, Tri-Cities",http://www.tricity.wsu.edu/
9083,US,"Washington State University, Vancouver",http://www.vancouver.wsu.edu/
9084,US,Washington University in St. Louis,http://www.wustl.edu/
9085,US,Wayland Baptist University,http://www.wbu.edu/
9086,US,Waynesburg College,http://www.waynesburg.edu/
9087,US,Wayne State College,http://www.wsc.edu/
9088,US,Wayne State University,http://www.wayne.edu/
9091,US,Weber State University,http://www.weber.edu/
9092,US,Webster University,http://www.webster.edu/
9094,US,Weill Medical College of Cornell University,http://www.med.cornell.edu/
9095,US,Wellesley College,http://www.wellesley.edu/
9096,US,Wells College,http://www.wells.edu/
9097,US,Wentworth Institute of Technology,http://www.wit.edu/
9099,US,Wesleyan University,http://www.wesleyan.edu/
9102,US,Westbrook University ,http://www.westbrooku.edu/
9103,US,West Chester University of Pennsylvania,http://www.wcupa.edu/
9107,US,Western Carolina University,http://www.wcu.edu/
9109,US,Western Governors University,http://www.wgu.edu/
9110,US,Western Illinois University,http://www.wiu.edu/
9111,US,Western International University,http://www.west.edu/
9112,US,Western Kentucky University,http://www.wku.edu/
9114,US,Western Michigan University,http://www.wmich.edu/
9117,US,Western Oregon University,http://www.wou.edu/
9120,US,Western State University College of Law,http://www.wsulaw.edu/
9121,US,Western State University College of Law - Orange County,http://www.wsulaw.edu/
9122,US,Western Washington University,http://www.wwu.edu/
9125,US,Westminster College Fulton,http://www.wcmo.edu/
9127,US,Westminster College of Salt Lake City,http://www.wcslc.edu/
9128,US,Westmont College,http://www.westmont.edu/
9130,US,West Texas A&M University,http://www.wtamu.edu/
9135,US,West Virginia Wesleyan College,http://www.wvwc.edu/
9137,US,Wheaton College Massachusetts,http://www.wheatonma.edu/
9139,US,Wheelock College,http://www.wheelock.edu/
9140,US,Whitman College,http://www.whitman.edu/
9141,US,Whittier College,http://www.whittier.edu/
9142,US,Whitworth College,http://www.whitworth.edu/
9144,US,Widener University,http://www.widener.edu/
9148,US,Wilkes University,http://www.wilkes.edu/
9149,US,Willamette University,http://www.willamette.edu/
9150,US,William Carey College,http://www.wmcarey.edu/
9153,US,William Paterson University,http://www.wpunj.edu/
9154,US,William Penn College,http://www.wmpenn.edu/
9156,US,Williams College,http://www.williams.edu/
9160,US,Wilmington College,http://www.wilmington.edu/
9161,US,Wilson College,http://www.wilson.edu/
9165,US,Winthrop University,http://www.winthrop.edu/
9166,US,Wisconsin Lutheran College,http://www.wlc.edu/
9168,US,Wittenberg University,http://www.wittenberg.edu/
9169,US,Wofford College,http://www.wofford.edu/
9171,US,Worcester Polytechnic Institute,http://www.wpi.edu/
9174,US,Wright State University,http://www.wright.edu/
9175,US,Xavier University,http://www.xu.edu/
9176,US,Xavier University of Louisiana,http://www.xula.edu/
9177,US,Yale University,http://www.yale.edu/
9178,US,Yeshiva University,http://www.yu.edu/
9179,US,York College Nebraska,http://www.york.edu/
9183,US,Youngstown State University,http://www.ysu.edu/
